顧客 Id,名前,性別,年齢,誕生日,婚姻,血液型,都道府県,キャリア,カレーの食べ方
荒大-13510,川井 一代,女,20,1996/11/24,既婚,O型,大阪府,ドコモ,右ルー・ルー攻め派
荒拓-13795,小西 佑,男,36,1981/01/04,未婚,O型,滋賀県,au,左ルー・混ぜ混ぜ派
荒陽-16195,赤木 景子,女,34,1982/09/29,既婚,A型,青森県,ドコモ,奥ルー・せき止め派
香寛-19780,泉 美菜,女,74,1943/01/15,既婚,B型,京都府,ドコモ,ぶっかけ・別口派
高海-16105,飯島 光洋,男,76,1940/03/21,既婚,B型,長野県,au,手前ルー・混ぜ混ぜ派
高結-20035,市村 勝久,男,73,1943/04/07,既婚,AB型,神奈川県,au,左ルー・せき止め派
高小-10420,森谷 守,男,36,1980/09/28,既婚,O型,福島県,ドコモ,奥ルー・ルー攻め派
高小-15250,本山 千夏,女,38,1978/11/28,既婚,A型,富山県,ドコモ,左ルー・ルー攻め派
高昭-16630,小宮 優一,男,26,1990/10/20,未婚,B型,宮城県,ドコモ,左ルー・混ぜ混ぜ派
高誠-12910,米田 育二,男,78,1938/03/22,既婚,AB型,埼玉県,au,奥ルー・せき止め派
高智-20665,上村 惇,男,37,1979/09/16,既婚,B型,埼玉県,ドコモ,左ルー・混ぜ混ぜ派
高梅-21820,岡崎 たかお,男,48,1968/05/31,既婚,A型,大阪府,ドコモ,左ルー・混ぜ混ぜ派
高武-14785,佐藤 仁,男,39,1978/01/03,既婚,O型,佐賀県,ドコモ,手前ルー・別口派
高武-16570,金城 光博,男,63,1953/04/18,既婚,A型,新潟県,ツーカー,左ルー・せき止め派
高豊-14650,諏訪 聡,男,76,1941/01/21,既婚,A型,神奈川県,ドコモ,左ルー・混ぜ混ぜ派
高由-17365,塩見 恵子,女,65,1951/10/04,既婚,A型,千葉県,ソフトバンク,左ルー・せき止め派
高緑-14290,横川 フミヤ,男,36,1981/01/23,既婚,A型,埼玉県,ドコモ,右ルー・ルー攻め派
鴻智-16300,柴田 季衣,女,43,1973/08/18,既婚,B型,大阪府,ドコモ,左ルー・せき止め派
国延-13000,柳原 浩正,男,77,1939/08/10,既婚,A型,滋賀県,au,奥ルー・せき止め派
国直-13555,小原 あや子,女,71,1946/01/28,既婚,O型,北海道,ソフトバンク,左ルー・せき止め派
国雄-14905,平良 はるか,女,32,1984/05/07,既婚,B型,大阪府,ドコモ,奥ルー・混ぜ混ぜ派
黒香-10900,角 美里,女,26,1990/06/04,既婚,A型,大分県,ドコモ,左ルー・混ぜ混ぜ派
黒正-15295,谷川 奈月,女,27,1989/09/09,既婚,O型,埼玉県,ドコモ,手前ルー・ルー攻め派
黒陽-13165,福永 真一,男,37,1980/02/08,未婚,O型,北海道,au,左ルー・ルー攻め派
黒麗-19210,阪口 知世,女,72,1944/03/12,既婚,O型,石川県,ツーカー,左ルー・せき止め派
黒和-12175,野本 勤,男,63,1953/06/03,既婚,O型,新潟県,ドコモ,ぶっかけ・ルー攻め派
黒翔-16180,瀬戸 知史,男,37,1979/11/22,既婚,O型,神奈川県,au,ぶっかけ・混ぜ混ぜ派
忽慶-17815,菅沼 隼士,男,73,1943/09/28,既婚,A型,兵庫県,ソフトバンク,ぶっかけ・せき止め派
今丈-21070,北 美咲,女,49,1968/01/23,既婚,B型,北海道,ソフトバンク,ぶっかけ・せき止め派
佐丈-10735,下川 小百合,女,35,1981/07/12,未婚,A型,東京都,ドコモ,右ルー・混ぜ混ぜ派
佐正-19390,小山 雅之,男,29,1987/07/08,未婚,O型,秋田県,ドコモ,ぶっかけ・せき止め派
佐静-20440,美輪 幸子,女,29,1987/06/30,既婚,A型,岩手県,ドコモ,ぶっかけ・せき止め派
佐大-17230,香川 寛,男,58,1959/01/25,既婚,A型,北海道,ドコモ,左ルー・せき止め派
佐美-17245,畠山 真悠子,女,76,1940/05/29,既婚,O型,鳥取県,ドコモ,手前ルー・せき止め派
佐翼-11065,仲田 秀樹,男,79,1937/10/26,既婚,O型,宮城県,ドコモ,別盛り・せき止め派
佐涼-14485,佐久間 勤,男,68,1948/05/27,既婚,A型,岡山県,ドコモ,右ルー・ルー攻め派
佐凛-20890,那須 希,女,62,1954/11/10,既婚,O型,大阪府,au,右ルー・ルー攻め派
最大-13285,加納 恵梨香,女,72,1944/06/09,既婚,B型,埼玉県,au,ぶっかけ・せき止め派
細義-20530,赤坂 奈月,女,24,1992/12/27,既婚,A型,栃木県,ドコモ,奥ルー・混ぜ混ぜ派
細陸-21415,永野 陽子,女,68,1948/07/28,既婚,O型,神奈川県,ドコモ,手前ルー・ルー攻め派
坂正-11785,熊谷 明,男,68,1948/06/26,既婚,AB型,奈良県,ドコモ,左ルー・せき止め派
坂正-14875,多岐川 恭子,女,78,1938/10/09,既婚,B型,埼玉県,au,左ルー・混ぜ混ぜ派
坂涼-15160,木下 礼子,女,64,1952/04/12,既婚,B型,神奈川県,ソフトバンク,右ルー・せき止め派
坂和-14050,堀 憲史,男,35,1982/02/24,未婚,A型,広島県,au,左ルー・ルー攻め派
阪蓮-21700,山岸 佑,男,42,1974/08/25,既婚,O型,愛知県,au,手前ルー・せき止め派
榊太-15520,片岡 禄郎,男,72,1944/06/20,既婚,AB型,千葉県,au,ぶっかけ・ルー攻め派
柵葵-14920,内田 光,女,43,1973/04/13,既婚,O型,千葉県,au,左ルー・別口派
桜健-16330,坂下 沙耶,女,29,1987/05/02,既婚,A型,大阪府,au,右ルー・ルー攻め派
桜蓮-19870,吉原 京子,女,42,1974/09/04,既婚,A型,京都府,au,ぶっかけ・ルー攻め派
笹修-15100,磯村 惇,男,44,1972/07/23,既婚,O型,埼玉県,au,別盛り・せき止め派
笹大-16015,玉置 沙耶,女,38,1978/06/16,既婚,A型,茨城県,ドコモ,左ルー・別口派
三海-12580,水口 郁恵,女,55,1961/04/26,既婚,B型,茨城県,au,左ルー・ナン派
三剛-12715,須田 まなみ,女,29,1987/06/06,既婚,B型,福島県,ドコモ,ぶっかけ・別口派
三真-11080,河内 たまき,女,79,1937/03/14,既婚,O型,大阪府,ドコモ,ぶっかけ・混ぜ混ぜ派
三真-12550,緒形 朝香,女,64,1952/03/30,既婚,B型,神奈川県,au,手前ルー・ルー攻め派
三真-15055,島津 誠治,男,33,1983/11/19,既婚,A型,茨城県,ドコモ,ぶっかけ・せき止め派
三誠-19090,堀川 真悠子,女,23,1993/09/28,未婚,A型,大阪府,au,右ルー・ルー攻め派
三荘-18205,城戸 早紀,女,51,1965/08/19,既婚,O型,兵庫県,ドコモ,左ルー・ルー攻め派
三貞-18100,米谷 真帆,女,67,1949/03/25,既婚,A型,大阪府,ドコモ,手前ルー・せき止め派
三哲-18115,長谷川 妃里,女,50,1966/09/20,既婚,O型,愛知県,ドコモ,右ルー・ルー攻め派
三和-16450,関根 みき,女,23,1993/12/05,既婚,O型,秋田県,ドコモ,左ルー・ルー攻め派
山海-13660,岩下 沙耶,女,50,1966/05/05,既婚,O型,栃木県,ドコモ,左ルー・混ぜ混ぜ派
山義-14755,坂井 涼,女,30,1986/05/24,既婚,O型,大阪府,ドコモ,左ルー・別口派
山桐-12565,江原 美佐,女,69,1947/10/25,既婚,B型,千葉県,ドコモ,手前ルー・混ぜ混ぜ派
山恵-12820,川西 一代,女,37,1980/01/02,既婚,O型,広島県,ドコモ,左ルー・混ぜ混ぜ派
山重-12085,高橋 璃子,女,38,1978/10/17,既婚,O型,兵庫県,ドコモ,左ルー・せき止め派
山真-11965,大竹 剛基,男,52,1964/03/17,既婚,B型,岡山県,ソフトバンク,ぶっかけ・ルー攻め派
山真-14350,小田島 洋介,男,78,1938/04/29,既婚,A型,山口県,au,ぶっかけ・別口派
山舞-12835,寺尾 六郎,男,70,1946/08/02,既婚,O型,愛知県,ドコモ,右ルー・せき止め派
山由-19375,坂本 寿々花,女,57,1959/08/19,既婚,O型,三重県,au,ぶっかけ・せき止め派
山翼-11230,中田 南朋,女,68,1949/01/28,既婚,O型,愛知県,ドコモ,左ルー・せき止め派
山緑-20200,中園 育二,男,45,1971/03/28,既婚,AB型,静岡県,ツーカー,奥ルー・ナン派
山凛-15220,河原 有起哉,男,43,1973/03/29,既婚,O型,神奈川県,au,右ルー・混ぜ混ぜ派
姉霞-18580,杉浦 知世,女,33,1983/03/25,既婚,O型,高知県,ドコモ,右ルー・せき止め派
姉彩-15490,尾崎 玲那,女,42,1974/05/24,既婚,O型,愛知県,ドコモ,右ルー・ルー攻め派
市義-16945,梅本 一徳,男,42,1974/03/24,既婚,B型,栃木県,ドコモ,左ルー・別口派
持三-15355,松山 薫,女,57,1960/02/10,既婚,AB型,山形県,ドコモ,右ルー・せき止め派
鹿勇-20425,西村 奈央,女,52,1964/12/01,未婚,O型,東京都,au,左ルー・せき止め派
軸剛-17425,小山 桃子,女,37,1979/04/18,既婚,A型,佐賀県,ドコモ,左ルー・ルー攻め派
室大-19105,大井 基祐,男,43,1973/12/16,既婚,B型,青森県,ドコモ,右ルー・せき止め派
漆翔-20155,森脇 由美子,女,21,1995/07/13,未婚,A型,岡山県,ソフトバンク,奥ルー・せき止め派
実和-14395,望月 はるみ,女,51,1965/12/04,既婚,O型,茨城県,ドコモ,手前ルー・せき止め派
篠香-20590,大野 コウ,女,74,1942/07/20,既婚,O型,福岡県,ドコモ,ぶっかけ・せき止め派
篠明-16660,松浦 明日,女,24,1992/05/12,未婚,A型,福島県,au,左ルー・別口派
柴翔-18865,落合 誠一,男,37,1980/01/28,既婚,B型,千葉県,ドコモ,ぶっかけ・せき止め派
芝誠-10810,織田 さとみ,女,44,1972/05/21,未婚,O型,北海道,ドコモ,左ルー・ルー攻め派
若陽-20920,谷口 ちえみ,女,21,1995/11/28,未婚,O型,大阪府,ドコモ,左ルー・混ぜ混ぜ派
手一-14380,松川 寛,男,35,1981/03/13,既婚,O型,高知県,ドコモ,手前ルー・せき止め派
狩直-14470,野田 智花,女,73,1944/01/24,既婚,B型,長野県,ソフトバンク,左ルー・ルー攻め派
種大-13630,角田 幸平,男,64,1952/08/30,既婚,O型,神奈川県,ドコモ,ぶっかけ・混ぜ混ぜ派
酒海-13990,大津 美佳,女,25,1991/07/21,既婚,A型,岩手県,ドコモ,ぶっかけ・別口派
周義-14560,浜口 洋介,男,77,1939/11/30,既婚,B型,東京都,ドコモ,奥ルー・ルー攻め派
宗拓-12325,花岡 美帆,女,72,1944/04/04,既婚,A型,岡山県,ドコモ,右ルー・せき止め派
宗凛-20800,大貫 亮,男,76,1940/05/22,既婚,A型,東京都,au,ぶっかけ・ルー攻め派
秋武-15310,石井 晴臣,男,27,1989/07/02,既婚,O型,山形県,ドコモ,左ルー・ルー攻め派
秋涼-15070,熊井 真一,男,35,1981/06/29,未婚,O型,福岡県,ドコモ,右ルー・別口派
住義-16750,川上 美月,女,54,1962/09/18,既婚,AB型,愛知県,ソフトバンク,ぶっかけ・ルー攻め派
渋克-21385,川野 雅彦,男,36,1980/11/24,既婚,A型,和歌山県,ドコモ,左ルー・ルー攻め派
渋由-13150,岩沢 璃子,女,71,1945/06/23,既婚,A型,福岡県,ドコモ,手前ルー・せき止め派
重結-11770,金井 一樹,男,20,1996/10/11,未婚,O型,奈良県,ドコモ,ぶっかけ・別口派
出霞-14845,目黒 砂羽,女,60,1956/04/23,既婚,A型,北海道,au,左ルー・せき止め派
出三-12235,谷 遥,女,38,1978/07/28,未婚,O型,奈良県,au,手前ルー・混ぜ混ぜ派
楯愛-11410,神野 勝久,男,52,1964/05/25,既婚,O型,神奈川県,ソフトバンク,別盛り・せき止め派
勝一-16150,安達 優,男,37,1979/07/09,既婚,O型,宮崎県,ドコモ,手前ルー・ルー攻め派
勝緑-16165,生瀬 菜々美,女,56,1960/06/26,既婚,A型,東京都,ドコモ,左ルー・混ぜ混ぜ派
勝翔-19255,杉田 沙知絵,女,69,1947/07/07,既婚,O型,福島県,ソフトバンク,ぶっかけ・ルー攻め派
小輝-21910,豊原 薫,男,56,1960/05/29,既婚,O型,東京都,au,ぶっかけ・混ぜ混ぜ派
小克-20635,丹羽 友也,男,41,1975/12/31,既婚,B型,東京都,ドコモ,ぶっかけ・せき止め派
小皐-20410,藤島 美佐,女,36,1980/05/20,既婚,O型,神奈川県,ドコモ,ぶっかけ・せき止め派
小皐-20905,勝田 隆博,男,54,1963/01/23,既婚,O型,千葉県,au,ぶっかけ・ルー攻め派
小四-13945,黒岩 由樹,女,74,1942/04/11,既婚,O型,東京都,ドコモ,ぶっかけ・混ぜ混ぜ派
小駿-20275,下山 千夏,女,53,1963/07/14,既婚,A型,大分県,ドコモ,奥ルー・混ぜ混ぜ派
小太-18355,水谷 そら,女,78,1939/02/08,既婚,O型,長崎県,au,ぶっかけ・混ぜ混ぜ派
小太-19585,神木 マサカズ,男,57,1959/05/14,既婚,A型,熊本県,ドコモ,ぶっかけ・せき止め派
小拓-13180,倉持 丈史,男,46,1970/08/25,既婚,O型,埼玉県,ドコモ,手前ルー・ルー攻め派
小直-17845,島本 ちえみ,女,64,1952/05/13,既婚,O型,大阪府,au,ぶっかけ・別口派
小禎-10525,小室 朝陽,女,56,1960/11/03,既婚,O型,北海道,au,別盛り・混ぜ混ぜ派
小美-17080,平井 蒼甫,男,20,1996/12/08,未婚,B型,千葉県,ドコモ,ぶっかけ・混ぜ混ぜ派
小優-19765,平塚 聡,男,79,1937/03/13,既婚,A型,北海道,au,左ルー・せき止め派
小翼-16555,戸田 朝香,女,61,1955/03/09,既婚,AB型,長野県,ドコモ,右ルー・混ぜ混ぜ派
松愛-16405,生田 宏行,男,74,1943/01/14,既婚,O型,兵庫県,ドコモ,ぶっかけ・混ぜ混ぜ派
松霞-19180,吉川 光良,男,34,1982/09/19,既婚,A型,埼玉県,au,左ルー・別口派
松義-18295,石倉 恵子,女,27,1989/06/18,既婚,A型,長崎県,ドコモ,奥ルー・せき止め派
松彩-10030,石原 優,女,57,1959/11/16,既婚,B型,北海道,ドコモ,ぶっかけ・せき止め派
松彩-20305,片平 貴美子,女,46,1970/11/09,既婚,O型,福島県,au,ぶっかけ・ナン派
松桜-19300,満島 優,女,38,1978/12/04,既婚,O型,愛知県,ドコモ,左ルー・混ぜ混ぜ派
松四-13915,小幡 信吾,男,58,1958/11/20,既婚,O型,三重県,ソフトバンク,奥ルー・ルー攻め派
松静-12250,大久保 詩織,女,38,1978/07/26,既婚,O型,千葉県,ソフトバンク,ぶっかけ・ルー攻め派
松凛-18805,前島 まさみ,女,77,1939/12/16,既婚,B型,富山県,au,奥ルー・ルー攻め派
沼結-17920,大沢 さやか,女,46,1971/02/09,既婚,O型,愛媛県,ドコモ,ぶっかけ・ルー攻め派
沼駿-18520,八木 誠治,男,48,1968/04/26,既婚,A型,岐阜県,ドコモ,ぶっかけ・せき止め派
沼静-20050,斉藤 美帆,女,20,1997/01/10,未婚,B型,東京都,ソフトバンク,左ルー・せき止め派
沼和-13900,中村 小雁,男,24,1993/01/07,未婚,B型,大阪府,ドコモ,奥ルー・混ぜ混ぜ派
上義-13735,五十嵐 奈月,女,41,1976/01/27,既婚,B型,愛知県,ソフトバンク,右ルー・ナン派
上正-16765,近藤 南朋,女,32,1984/10/08,既婚,A型,東京都,au,右ルー・せき止め派
上大-19045,佐久間 聡,男,23,1994/01/17,未婚,A型,千葉県,ソフトバンク,ぶっかけ・せき止め派
上禎-15790,細野 建,男,47,1969/07/09,既婚,B型,東京都,ドコモ,左ルー・ルー攻め派
上由-21655,浅野 将也,男,45,1971/08/29,既婚,A型,千葉県,ドコモ,左ルー・せき止め派
上和-20830,松本 桃子,女,80,1936/04/24,既婚,B型,千葉県,ドコモ,左ルー・せき止め派
城優-17800,喜多 那奈,女,66,1950/03/27,既婚,A型,福岡県,au,左ルー・ルー攻め派
常翔-13315,吹石 浩太郎,男,26,1990/05/11,未婚,B型,静岡県,ドコモ,左ルー・せき止め派
植丈-10390,杉野 れいな,女,48,1968/03/26,既婚,B型,東京都,au,左ルー・ルー攻め派
織夏-15910,市村 充則,男,26,1990/06/22,既婚,AB型,北海道,ドコモ,左ルー・ルー攻め派
新香-11245,小玉 恵子,女,56,1960/09/16,既婚,O型,埼玉県,au,左ルー・ルー攻め派
新皐-16615,古山 美嘉,女,21,1995/09/12,未婚,AB型,岡山県,ドコモ,右ルー・ルー攻め派
新禎-16840,松岡 信吾,男,58,1958/11/07,既婚,AB型,山形県,ドコモ,左ルー・せき止め派
新萌-10630,長谷部 たまき,女,29,1987/05/25,既婚,A型,神奈川県,ドコモ,別盛り・ルー攻め派
新茂-17050,小関 美月,女,26,1990/12/23,未婚,O型,長野県,au,奥ルー・ルー攻め派
森延-18055,関谷 高史,男,73,1944/02/21,既婚,B型,兵庫県,ソフトバンク,ぶっかけ・別口派
森香-14590,浅野 さやか,女,65,1951/07/24,既婚,B型,青森県,ソフトバンク,手前ルー・せき止め派
深孝-20770,寺島 理紗,女,35,1981/04/16,既婚,O型,神奈川県,au,左ルー・ルー攻め派
深豊-19900,秋葉 一哉,男,42,1974/10/07,既婚,B型,福岡県,ソフトバンク,左ルー・混ぜ混ぜ派
真凛-11905,滝田 瞬,男,50,1966/05/03,未婚,A型,高知県,ドコモ,右ルー・別口派
真凛-16255,諏訪 里奈,女,44,1972/08/25,既婚,O型,北海道,au,奥ルー・せき止め派
神丈-11980,豊田 浩太郎,男,43,1973/12/18,既婚,AB型,北海道,ドコモ,右ルー・せき止め派
神翔-11290,岡崎 菊生,男,22,1994/07/23,未婚,O型,愛知県,ドコモ,右ルー・別口派
須夏-19645,寺井 利夫,男,75,1941/12/02,既婚,B型,京都府,ドコモ,左ルー・混ぜ混ぜ派
須慶-19165,坂口 一恵,女,31,1985/09/14,既婚,O型,福島県,au,左ルー・せき止め派
須弘-14695,畠山 豊,男,25,1991/07/29,既婚,A型,新潟県,ドコモ,手前ルー・ルー攻め派
須真-18460,堀川 遥,女,77,1939/07/09,既婚,O型,京都府,au,左ルー・ルー攻め派
須美-21925,大崎 愛子,女,32,1984/11/07,既婚,A型,東京都,ドコモ,左ルー・ナン派
水大-20995,栗山 瞳,女,80,1936/04/09,既婚,A型,京都府,ソフトバンク,左ルー・せき止め派
水瞳-10885,甲斐 真帆,女,23,1993/06/30,未婚,B型,宮崎県,ドコモ,左ルー・ルー攻め派
数直-12880,松島 禄郎,男,49,1967/06/22,既婚,A型,静岡県,ドコモ,ぶっかけ・別口派
杉進-19795,菅谷 なぎさ,女,26,1990/10/21,既婚,O型,神奈川県,au,左ルー・別口派
菅正-20230,長谷川 だん吉,男,26,1991/02/20,既婚,A型,和歌山県,au,左ルー・せき止め派
瀬美-14365,山西 みあ,女,49,1967/12/11,既婚,O型,大阪府,ドコモ,ぶっかけ・混ぜ混ぜ派
瀬和-14020,加藤 徹平,男,52,1964/11/27,既婚,O型,北海道,ドコモ,奥ルー・ルー攻め派
成葵-16885,古谷 俊二,男,62,1954/12/09,既婚,A型,大阪府,ドコモ,奥ルー・ナン派
成慶-16060,長井 瞳,女,28,1988/03/31,既婚,A型,新潟県,ドコモ,ぶっかけ・混ぜ混ぜ派
成正-18145,藤井 薫,女,59,1958/01/21,既婚,A型,京都府,ソフトバンク,ぶっかけ・せき止め派
成直-12970,吉村 みき,女,32,1984/09/23,既婚,B型,青森県,au,ぶっかけ・別口派
星海-10210,増田 あおい,女,42,1974/10/24,既婚,A型,栃木県,ドコモ,ぶっかけ・せき止め派
星優-14950,磯野 春樹,女,55,1962/01/15,既婚,O型,滋賀県,ソフトバンク,別盛り・混ぜ混ぜ派
清愛-14665,堤 三郎,男,74,1942/11/06,既婚,O型,北海道,ドコモ,奥ルー・ルー攻め派
清正-17170,小泉 きみまろ,男,22,1994/11/28,未婚,A型,長野県,ドコモ,ぶっかけ・せき止め派
生海-21220,武田 守,男,43,1973/03/17,既婚,B型,岩手県,ドコモ,別盛り・ルー攻め派
生和-17065,福地 花緑,男,57,1959/04/10,既婚,A型,福岡県,ドコモ,右ルー・せき止め派
西愛-15880,竹中 えみ,女,31,1985/11/02,未婚,A型,北海道,ソフトバンク,別盛り・ルー攻め派
西弘-14185,三橋 隼士,男,51,1965/07/01,既婚,A型,埼玉県,ドコモ,奥ルー・ルー攻め派
西太-17755,植松 明慶,男,44,1972/05/01,既婚,A型,滋賀県,au,右ルー・混ぜ混ぜ派
西大-10825,滝口 たまき,女,40,1976/04/24,既婚,AB型,東京都,ドコモ,奥ルー・混ぜ混ぜ派
西豊-16585,西沢 マサカズ,男,64,1952/03/14,既婚,A型,愛知県,ソフトバンク,左ルー・せき止め派
西陽-12265,鶴岡 一,男,61,1955/05/14,既婚,O型,大阪府,ドコモ,右ルー・ルー攻め派
西蓮-10375,染谷 克実,男,72,1944/03/30,既婚,O型,愛知県,ドコモ,ぶっかけ・混ぜ混ぜ派
西翔-10300,早坂 英嗣,男,64,1953/01/28,既婚,B型,鹿児島県,ドコモ,ぶっかけ・別口派
西颯-11710,榊原 洋,男,71,1946/01/22,既婚,A型,大分県,ドコモ,左ルー・せき止め派
青大-20215,森下 聖陽,男,64,1952/09/01,既婚,B型,新潟県,ドコモ,右ルー・混ぜ混ぜ派
青翔-15970,伊藤 完爾,男,61,1955/04/06,既婚,B型,茨城県,ソフトバンク,ぶっかけ・せき止め派
石明-19885,本山 瞳,女,58,1958/09/27,既婚,O型,千葉県,ソフトバンク,ぶっかけ・別口派
石雄-11680,パンツェッタ 窈,女,72,1944/07/24,既婚,A型,愛知県,au,ぶっかけ・せき止め派
積千-19675,藤野 たかお,男,49,1967/12/18,既婚,B型,東京都,ソフトバンク,左ルー・混ぜ混ぜ派
赤貞-18340,関口 弘也,男,32,1984/04/22,未婚,AB型,神奈川県,ドコモ,左ルー・混ぜ混ぜ派
赤優-18325,福山 利夫,男,42,1974/11/12,既婚,A型,青森県,ドコモ,奥ルー・ルー攻め派
赤和-17275,大畑 和香,女,66,1950/05/03,既婚,O型,福岡県,ドコモ,左ルー・混ぜ混ぜ派
赤凛-18730,山崎 文世,女,25,1991/12/15,既婚,O型,千葉県,ドコモ,左ルー・別口派
折桜-15805,上条 サンタマリア,男,48,1968/05/08,未婚,B型,大阪府,au,左ルー・ルー攻め派
折匠-19135,真田 サンタマリア,男,52,1964/12/09,既婚,B型,大阪府,au,手前ルー・せき止め派
折真-19225,下村 雅彦,男,54,1962/10/07,既婚,B型,山梨県,ドコモ,ぶっかけ・別口派
折大-15685,尾上 徹,男,37,1979/07/10,未婚,O型,岐阜県,ドコモ,左ルー・せき止め派
雪凛-11860,金井 妃里,女,35,1981/04/06,既婚,B型,群馬県,ドコモ,ぶっかけ・ルー攻め派
千美-12400,浅倉 はるか,女,45,1972/02/10,既婚,A型,神奈川県,ツーカー,右ルー・ナン派
川葵-21520,寺島 朝香,女,49,1967/10/22,既婚,B型,奈良県,ソフトバンク,左ルー・せき止め派
川一-11995,妻夫木 恵麻,女,33,1983/04/15,既婚,A型,東京都,ドコモ,右ルー・混ぜ混ぜ派
川学-20470,尾上 龍吉,男,44,1972/04/17,既婚,O型,神奈川県,au,手前ルー・別口派
川結-18535,徳重 礼子,女,57,1959/06/25,既婚,A型,東京都,ドコモ,右ルー・別口派
川重-20965,玉山 淳子,女,43,1973/10/23,既婚,A型,大阪府,ドコモ,ぶっかけ・別口派
川進-19615,大津 千佳子,女,25,1991/08/01,既婚,A型,大阪府,ソフトバンク,ぶっかけ・混ぜ混ぜ派
川大-13720,滝沢 正義,男,68,1948/08/01,既婚,B型,大阪府,au,左ルー・ルー攻め派
川大-19420,熊井 雅功,男,40,1977/02/14,既婚,A型,宮崎県,ドコモ,左ルー・混ぜ混ぜ派
川大-20455,生田 光臣,男,75,1941/04/05,既婚,O型,広島県,ドコモ,ぶっかけ・せき止め派
川法-12310,橋口 和久,男,68,1948/03/20,既婚,A型,福島県,ツーカー,別盛り・せき止め派
川由-11470,岡部 まさし,男,29,1988/01/08,未婚,O型,愛知県,au,左ルー・せき止め派
川緑-12685,永田 大樹,男,56,1960/10/16,既婚,O型,石川県,ソフトバンク,左ルー・ルー攻め派
川麗-19480,国分 涼子,女,63,1953/05/20,既婚,A型,千葉県,au,別盛り・ルー攻め派
泉小-18025,高畑 仁,男,34,1982/10/17,既婚,O型,埼玉県,ドコモ,左ルー・ルー攻め派
泉和-15655,三村 恭子,女,22,1994/06/06,未婚,A型,千葉県,ツーカー,別盛り・ルー攻め派
浅夏-21355,稲田 正義,男,48,1968/07/24,既婚,AB型,神奈川県,ドコモ,左ルー・ルー攻め派
浅真-19705,深田 由宇,女,51,1966/01/03,既婚,A型,神奈川県,ドコモ,ぶっかけ・混ぜ混ぜ派
浅大-21370,竹下 晴臣,男,40,1977/02/21,既婚,O型,大阪府,au,左ルー・ナン派
染大-12010,谷本 直人,男,74,1942/03/11,既婚,A型,鹿児島県,ドコモ,右ルー・せき止め派
船一-13045,古川 慶太,男,78,1938/07/29,既婚,A型,新潟県,au,左ルー・ルー攻め派
前匠-20650,竹中 みゆき,女,42,1974/08/29,未婚,O型,大阪府,au,ぶっかけ・せき止め派
前丈-19570,柴田 和之,男,21,1995/05/24,既婚,A型,千葉県,au,ぶっかけ・ルー攻め派
前清-15595,古沢 咲,女,58,1958/10/04,既婚,O型,京都府,au,ぶっかけ・せき止め派
蘇真-21160,白石 慶二,男,38,1979/02/14,既婚,A型,大阪府,ドコモ,奥ルー・混ぜ混ぜ派
倉翼-20110,中尾 さゆり,女,39,1977/04/07,既婚,B型,北海道,ソフトバンク,右ルー・混ぜ混ぜ派
倉陸-13705,尾形 知史,男,68,1949/01/28,既婚,A型,兵庫県,ドコモ,ぶっかけ・せき止め派
早学-11485,依田 美和子,女,41,1975/06/10,既婚,B型,愛知県,au,別盛り・せき止め派
早陽-12670,石塚 雅功,男,53,1964/01/30,既婚,A型,奈良県,ソフトバンク,ぶっかけ・混ぜ混ぜ派
相健-19720,神保 景子,女,64,1952/08/13,既婚,B型,三重県,ドコモ,手前ルー・混ぜ混ぜ派
相真-13885,藤本 だん吉,男,76,1940/06/12,既婚,A型,熊本県,ドコモ,右ルー・せき止め派
相美-20380,海野 小雁,男,60,1956/03/26,既婚,A型,熊本県,ドコモ,左ルー・せき止め派
草実-18640,武田 三郎,男,71,1945/11/03,既婚,O型,茨城県,ドコモ,ぶっかけ・ルー攻め派
霜匠-21175,角 美佳,女,79,1937/07/20,既婚,A型,北海道,ドコモ,ぶっかけ・混ぜ混ぜ派
増豊-11890,山崎 兼,男,32,1984/07/31,未婚,A型,静岡県,au,ぶっかけ・混ぜ混ぜ派
増優-10090,大城 弘也,男,54,1962/05/08,既婚,A型,東京都,ドコモ,奥ルー・せき止め派
蔵学-19150,宇野 なつみ,女,33,1983/03/18,既婚,B型,北海道,au,ぶっかけ・混ぜ混ぜ派
蔵真-13090,谷口 ひかり,女,55,1961/07/18,既婚,B型,埼玉県,ドコモ,別盛り・混ぜ混ぜ派
則輝-10510,末永 亜希,女,64,1952/04/14,既婚,B型,大阪府,au,ぶっかけ・混ぜ混ぜ派
足萌-15775,安達 一徳,男,59,1957/04/05,既婚,O型,京都府,ドコモ,手前ルー・せき止め派
村彩-20290,吉川 さとみ,女,22,1994/11/11,未婚,A型,千葉県,ソフトバンク,右ルー・ルー攻め派
村美-20065,浅川 勝久,男,57,1959/10/09,既婚,A型,佐賀県,ソフトバンク,手前ルー・ナン派
村朋-17695,榎本 光博,男,57,1959/07/22,既婚,B型,茨城県,ドコモ,左ルー・せき止め派
村翼-12985,森川 しほり,女,31,1985/03/03,既婚,O型,東京都,ドコモ,右ルー・混ぜ混ぜ派
多恵-17380,森口 惇,男,25,1991/06/01,未婚,B型,宮城県,ドコモ,左ルー・ナン派
多美-17785,阿井 妃里,女,39,1977/05/02,既婚,B型,埼玉県,ドコモ,左ルー・せき止め派
